ID	Label	NYU40	ScanNet	Eigen
0	wall	1	2	12
1	remove	0	0	0
2	chair	5	3	4
3	pillow	18	0	7
4	box	29	0	7
5	shelf	15	0	6
6	floor	2	1	5
7	ceiling	22	0	3
8	plant	40	0	7
9	door	8	6	0
10	table	7	5	10
11	window	9	12	13
12	item	40	0	7
13	lamp	35	0	7
14	curtain	16	15	7
15	object	40	0	7
16	cabinet	3	7	6
17	picture	11	13	8
18	bag	37	0	7
19	light	38	0	0
20	clothes	21	0	7
21	doorframe	38	0	0
22	armchair	5	3	4
23	sink	34	11	6
24	kitchen cabinet	3	7	6
25	towel	27	0	7
26	heater	39	20	6
27	stool	40	0	7
28	trash can	40	0	7
29	monitor	40	0	7
30	blanket	40	0	7
31	desk	14	9	10
32	cushion	18	0	7
33	commode	3	7	6
34	wardrobe	39	20	6
35	windowsill	38	0	0
36	bed	4	8	1
37	sofa	6	4	9
38	basket	40	0	7
39	bench	39	20	6
40	tv	25	0	11
41	coffee table	7	5	10
42	nightstand	32	0	6
43	clutter	40	0	7
44	toilet	33	10	6
45	radiator	39	20	6
46	blinds	13	12	7
47	bath cabinet	3	7	6
48	kitchen counter	12	17	6
49	stand	39	20	6
50	mirror	19	0	7
51	decoration	40	0	7
52	bucket	40	0	7
53	bicycle	40	0	7
54	backpack	40	0	7
55	counter	12	17	6
56	tv stand	39	20	6
57	couch	6	4	9
58	pc	40	0	7
59	shoes	40	0	7
60	frame	38	0	0
61	rack	39	20	6
62	vase	40	0	7
63	stove	38	0	0
64	kitchen appliance	40	0	7
65	side table	7	5	10
66	washing machine	40	0	7
67	oven	38	0	0
68	couch table	7	5	10
69	refrigerator	24	18	6
70	showcase	3	7	6
71	plank	38	0	0
72	toilet paper	40	0	7
73	microwave	40	0	7
74	clothes dryer	40	0	7
75	ottoman	39	20	6
76	whiteboard	30	0	7
77	bin	40	0	7
78	pillar	38	0	0
79	suitcase	40	0	7
80	bathtub	36	19	6
81	clock	40	0	7
82	wall frame	11	13	8
83	shower curtain	28	16	7
84	laptop	40	0	7
85	cupboard	3	7	6
86	dining chair	5	3	4
87	book	23	0	2
88	puf	39	20	6
89	bottle	40	0	7
