Label	RIO7
chair	1
table	2
bed	3
bean bag	5
pillow	5
cart	2
bin	6
bench	1
ottoman	5
nightstand	2
commode	2
door	7
pet bed	5
toilet	4
armchair	1
child chair	1
coffee table	2
lamp	6
couch table	2
backpack	6
showcase	2
couch	3
window	7
desk	2
sofa	3
plant	6
footstool	1
stand	6
refrigerator	4
box	6
bag	6
drawer	2
floor lamp	6
shelf	2
stool	1
table lamp	6
sink	4
ball	6
device	6
garbage	6
suitcase	6
tv	4
tv stand	2
bedside table	2
clutter	6
item	6
boxes	6
wardrobe	2
corner bench	1
dining table	2
bed table	2
bicycle	6
bath cabinet	2
trash can	6
object	6
cushion	5
side table	2
computer desk	2
rocking chair	1
gymnastic ball	1
drum	6
bidet	4
garbage bin	6
cupboard	2
kitchen object	6
flowers	6
chest	6
kettle	6
toaster	6
shoe	6
tennis raquet	6
laptop	6
sofa chair	3
cabinet	2
round table	2
cutting board	6
storage container	6
container	6
laundry basket	6
picture	6
drying machine	4
dining chair	1
blanket	6
